Instant,Datetime,Season,Year,Month,Hour,Holiday,Weekday,Weather,Temperature,Atemp,Humidity,Windspeed,Casual,Registered,Total_Count,Week_name,Month_name,Weather_condition
14,2011-01-01,1,0,1,13,0,6,2,0.46,0.4545,0.72,0.2985,47,47,94,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
15,2011-01-01,1,0,1,14,0,6,2,0.46,0.4545,0.72,0.2836,35,71,106,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
16,2011-01-01,1,0,1,15,0,6,2,0.44,0.4394,0.77,0.2985,40,70,110,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
17,2011-01-01,1,0,1,16,0,6,2,0.42,0.4242,0.82,0.2985,41,52,93,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
18,2011-01-01,1,0,1,17,0,6,2,0.44,0.21195783619817998,0.82,0.2836,15,52,67,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
19,2011-01-01,1,0,1,18,0,6,3,0.42,0.4242,0.88,0.2537,9,26,35,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
20,2011-01-01,1,0,1,19,0,6,3,0.42,0.4242,0.88,0.2537,6,31,37,Sat,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
21,2011-01-01,1,0,1,20,0,6,2,0.4,0.4091,0.87,0.2537,11,25,36,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
22,2011-01-01,1,0,1,21,0,6,2,0.4,0.4091,0.87,0.194,3,31,34,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
23,2011-01-01,1,0,1,22,0,6,2,0.4,0.4091,0.94,0.2239,11,17,28,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
24,2011-01-01,1,0,1,23,0,6,2,0.46,0.21195783619817998,0.88,0.2985,15,24,39,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
25,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
26,2011-01-02,1,0,1,1,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
27,2011-01-02,1,0,1,2,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
28,2011-01-02,1,0,1,3,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
29,2011-01-02,1,0,1,4,0,0,2,0.46,0.21195783619817998,0.94,0.194,2,1,3,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
30,2011-01-02,1,0,1,6,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Sun,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
31,2011-01-02,1,0,1,7,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
32,2011-01-02,1,0,1,8,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Sun,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
33,2011-01-02,1,0,1,9,0,0,2,0.38,0.21195783619817998,0.76,0.2239,1,19,20,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
34,2011-01-02,1,0,1,10,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
35,2011-01-02,1,0,1,11,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
36,2011-01-02,1,0,1,12,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
37,2011-01-02,1,0,1,13,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
38,2011-01-02,1,0,1,14,0,0,3,0.36,0.21195783619817998,0.76,0.194,4,55,59,Sun,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
39,2011-01-02,1,0,1,15,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Sun,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
40,2011-01-02,1,0,1,16,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Sun,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
41,2011-01-02,1,0,1,17,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
42,2011-01-02,1,0,1,18,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Sun,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
43,2011-01-02,1,0,1,19,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
44,2011-01-02,1,0,1,20,0,0,1,0.3,0.21195783619817998,0.39,0.3582,5,17,22,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
45,2011-01-02,1,0,1,21,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
46,2011-01-02,1,0,1,22,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
47,2011-01-02,1,0,1,23,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Sun,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
48,2011-01-03,1,0,1,0,0,1,1,0.22,0.197,0.44,0.3582,0,5,5,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
49,2011-01-03,1,0,1,1,0,1,1,0.2,0.21195783619817998,0.44,0.4179,0,2,2,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
50,2011-01-03,1,0,1,4,0,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
51,2011-01-03,1,0,1,5,0,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
52,2011-01-03,1,0,1,6,0,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
53,2011-01-03,1,0,1,7,0,1,1,0.14,0.1364,0.5,0.194,1,63,64,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
54,2011-01-03,1,0,1,8,0,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
55,2011-01-03,1,0,1,9,0,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
56,2011-01-03,1,0,1,10,0,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
57,2011-01-03,1,0,1,11,0,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
58,2011-01-03,1,0,1,12,0,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
59,2011-01-03,1,0,1,13,0,1,1,0.24,0.21195783619817998,0.35,0.2836,8,53,61,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
60,2011-01-03,1,0,1,14,0,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
61,2011-01-03,1,0,1,15,0,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
62,2011-01-03,1,0,1,16,0,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
63,2011-01-03,1,0,1,17,0,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
64,2011-01-03,1,0,1,18,0,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
65,2011-01-03,1,0,1,19,0,1,1,0.2,0.2576,0.47,0.0,8,102,110,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
66,2011-01-03,1,0,1,20,0,1,1,0.2,0.21195783619817998,0.47,0.1045,3,49,52,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
67,2011-01-03,1,0,1,21,0,1,1,0.18,0.197,0.64,0.1343,3,49,52,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
68,2011-01-03,1,0,1,22,0,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
69,2011-01-03,1,0,1,23,0,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Mon,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
70,2011-01-04,1,0,1,0,0,2,1,0.16,0.21195783619817998,0.55,0.1045,0,5,5,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
71,2011-01-04,1,0,1,1,0,2,1,0.16,0.1818,0.59,0.1045,0,2,2,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
72,2011-01-04,1,0,1,2,0,2,1,0.14,0.1515,0.63,0.1343,0,1,1,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
73,2011-01-04,1,0,1,4,0,2,1,0.14,0.1818,0.63,0.0896,0,2,2,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
74,2011-01-04,1,0,1,5,0,2,1,0.12,0.1515,0.68,0.1045,0,4,4,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
75,2011-01-04,1,0,1,6,0,2,1,0.12,0.1515,0.74,0.1045,0,36,36,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
76,2011-01-04,1,0,1,7,0,2,1,0.12,0.1515,0.74,0.1343,2,92,94,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
77,2011-01-04,1,0,1,8,0,2,1,0.14,0.1515,0.69,0.1642,2,177,179,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
78,2011-01-04,1,0,1,9,0,2,1,0.16,0.1515,0.64,0.2239,2,98,100,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
79,2011-01-04,1,0,1,10,0,2,2,0.16,0.1364,0.69,0.3284,5,37,42,Tue,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
80,2011-01-04,1,0,1,11,0,2,1,0.22,0.2121,0.51,0.2985,7,50,57,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
81,2011-01-04,1,0,1,12,0,2,1,0.22,0.2273,0.51,0.1642,12,66,78,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
82,2011-01-04,1,0,1,13,0,2,1,0.24,0.2273,0.56,0.194,18,79,97,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
83,2011-01-04,1,0,1,14,0,2,1,0.26,0.2576,0.52,0.2239,9,54,63,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
84,2011-01-04,1,0,1,15,0,2,1,0.28,0.2727,0.52,0.2537,17,48,65,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
85,2011-01-04,1,0,1,16,0,2,1,0.3,0.2879,0.49,0.2537,15,68,83,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
86,2011-01-04,1,0,1,17,0,2,1,0.28,0.2727,0.48,0.2239,10,202,212,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
87,2011-01-04,1,0,1,18,0,2,1,0.26,0.2576,0.48,0.194,3,179,182,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
88,2011-01-04,1,0,1,19,0,2,1,0.24,0.2576,0.48,0.1045,2,110,112,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
89,2011-01-04,1,0,1,20,0,2,1,0.24,0.2576,0.48,0.1045,1,53,54,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
90,2011-01-04,1,0,1,21,0,2,1,0.22,0.2727,0.64,0.0,0,48,48,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
91,2011-01-04,1,0,1,22,0,2,1,0.22,0.2576,0.64,0.0896,1,34,35,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
92,2011-01-04,1,0,1,23,0,2,1,0.2,0.2273,0.69,0.0896,2,9,11,Tue,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
93,2011-01-05,1,0,1,0,0,3,1,0.2,0.2576,0.64,0.0,0,6,6,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
94,2011-01-05,1,0,1,1,0,3,1,0.16,0.197,0.74,0.0896,0,6,6,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
95,2011-01-05,1,0,1,2,0,3,1,0.16,0.197,0.74,0.0896,0,2,2,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
96,2011-01-05,1,0,1,4,0,3,1,0.24,0.2273,0.48,0.2239,0,2,2,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
97,2011-01-05,1,0,1,5,0,3,1,0.22,0.2273,0.47,0.1642,0,3,3,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
98,2011-01-05,1,0,1,6,0,3,1,0.2,0.197,0.47,0.2239,0,33,33,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
99,2011-01-05,1,0,1,7,0,3,1,0.18,0.1818,0.43,0.194,1,87,88,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
100,2011-01-05,1,0,1,8,0,3,1,0.2,0.1818,0.4,0.2985,3,192,195,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
101,2011-01-05,1,0,1,9,0,3,1,0.22,0.197,0.37,0.3284,6,109,115,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
102,2011-01-05,1,0,1,10,0,3,1,0.22,0.197,0.37,0.3284,4,53,57,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
103,2011-01-05,1,0,1,11,0,3,1,0.26,0.2273,0.33,0.3284,12,34,46,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
104,2011-01-05,1,0,1,12,0,3,1,0.26,0.2273,0.33,0.3284,5,74,79,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
105,2011-01-05,1,0,1,13,0,3,1,0.28,0.2576,0.3,0.2985,6,65,71,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
106,2011-01-05,1,0,1,14,0,3,1,0.3,0.2879,0.28,0.194,10,52,62,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
107,2011-01-05,1,0,1,15,0,3,1,0.3,0.2879,0.28,0.194,7,55,62,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
108,2011-01-05,1,0,1,16,0,3,1,0.3,0.3182,0.28,0.0896,4,85,89,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
109,2011-01-05,1,0,1,17,0,3,1,0.24,0.2273,0.38,0.194,4,186,190,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
110,2011-01-05,1,0,1,18,0,3,1,0.24,0.2424,0.38,0.1343,3,166,169,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
111,2011-01-05,1,0,1,19,0,3,1,0.24,0.2576,0.38,0.1045,5,127,132,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
112,2011-01-05,1,0,1,20,0,3,1,0.22,0.2273,0.47,0.1642,7,82,89,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
113,2011-01-05,1,0,1,21,0,3,1,0.2,0.197,0.51,0.194,3,40,43,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
114,2011-01-05,1,0,1,22,0,3,1,0.18,0.197,0.55,0.1343,1,41,42,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
115,2011-01-05,1,0,1,23,0,3,1,0.2,0.2576,0.47,0.0,1,18,19,Wed,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
116,2011-01-06,1,0,1,0,0,4,1,0.18,0.2424,0.55,0.0,0,11,11,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
117,2011-01-06,1,0,1,1,0,4,1,0.16,0.2273,0.64,0.0,0,4,4,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
118,2011-01-06,1,0,1,2,0,4,1,0.16,0.2273,0.64,0.0,0,2,2,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
119,2011-01-06,1,0,1,4,0,4,2,0.16,0.197,0.64,0.0896,0,1,1,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
120,2011-01-06,1,0,1,5,0,4,2,0.14,0.1818,0.69,0.0896,0,4,4,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
121,2011-01-06,1,0,1,6,0,4,2,0.14,0.1667,0.63,0.1045,0,36,36,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
122,2011-01-06,1,0,1,7,0,4,2,0.16,0.2273,0.59,0.0,0,95,95,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
123,2011-01-06,1,0,1,8,0,4,1,0.16,0.2273,0.59,0.0,3,216,219,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
124,2011-01-06,1,0,1,9,0,4,2,0.18,0.2424,0.51,0.0,6,116,122,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
125,2011-01-06,1,0,1,10,0,4,1,0.2,0.2576,0.47,0.0,3,42,45,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
126,2011-01-06,1,0,1,11,0,4,1,0.22,0.2576,0.44,0.0896,2,57,59,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
127,2011-01-06,1,0,1,12,0,4,1,0.26,0.2879,0.35,0.0,6,78,84,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
128,2011-01-06,1,0,1,13,0,4,1,0.26,0.2727,0.35,0.1045,12,55,67,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
129,2011-01-06,1,0,1,14,0,4,1,0.28,0.2727,0.36,0.1642,11,59,70,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
130,2011-01-06,1,0,1,15,0,4,1,0.28,0.2727,0.36,0.0,8,54,62,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
131,2011-01-06,1,0,1,16,0,4,1,0.26,0.2576,0.38,0.1642,12,74,86,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
132,2011-01-06,1,0,1,17,0,4,1,0.22,0.2273,0.51,0.1642,9,163,172,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
133,2011-01-06,1,0,1,18,0,4,1,0.22,0.2273,0.51,0.1343,5,158,163,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
134,2011-01-06,1,0,1,19,0,4,1,0.22,0.2576,0.55,0.0896,3,109,112,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
135,2011-01-06,1,0,1,20,0,4,1,0.2,0.2121,0.51,0.1642,3,66,69,Thu,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
136,2011-01-06,1,0,1,21,0,4,2,0.22,0.2121,0.55,0.2239,0,48,48,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
137,2011-01-06,1,0,1,22,0,4,2,0.22,0.2121,0.51,0.2836,1,51,52,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
138,2011-01-06,1,0,1,23,0,4,2,0.2,0.197,0.59,0.194,4,19,23,Thu,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
139,2011-01-07,1,0,1,0,0,5,2,0.2,0.197,0.64,0.194,4,13,17,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
140,2011-01-07,1,0,1,1,0,5,2,0.2,0.197,0.69,0.2239,2,5,7,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
141,2011-01-07,1,0,1,2,0,5,2,0.2,0.197,0.69,0.2239,0,1,1,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
142,2011-01-07,1,0,1,4,0,5,2,0.2,0.2121,0.69,0.1343,0,1,1,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
143,2011-01-07,1,0,1,5,0,5,3,0.22,0.2727,0.55,0.0,0,5,5,Fri,Jan,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
144,2011-01-07,1,0,1,6,0,5,2,0.2,0.2576,0.69,0.0,8,26,34,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
145,2011-01-07,1,0,1,7,0,5,1,0.2,0.2121,0.69,0.1343,8,76,84,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
146,2011-01-07,1,0,1,8,0,5,1,0.2,0.197,0.51,0.2537,20,190,210,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
147,2011-01-07,1,0,1,9,0,5,1,0.2,0.1818,0.47,0.2985,9,125,134,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
148,2011-01-07,1,0,1,10,0,5,1,0.22,0.197,0.37,0.3284,16,47,63,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
149,2011-01-07,1,0,1,11,0,5,2,0.2,0.197,0.4,0.2239,19,48,67,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
150,2011-01-07,1,0,1,12,0,5,2,0.2,0.197,0.37,0.2537,9,50,59,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
151,2011-01-07,1,0,1,13,0,5,2,0.2,0.1818,0.37,0.2836,9,64,73,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
152,2011-01-07,1,0,1,14,0,5,2,0.2,0.197,0.4,0.2537,7,43,50,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
153,2011-01-07,1,0,1,15,0,5,2,0.2,0.2121,0.37,0.1642,9,63,72,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
154,2011-01-07,1,0,1,16,0,5,2,0.2,0.2121,0.37,0.1642,5,82,87,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
155,2011-01-07,1,0,1,17,0,5,2,0.2,0.2576,0.37,0.0,9,178,187,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
156,2011-01-07,1,0,1,18,0,5,1,0.2,0.2273,0.4,0.0896,7,116,123,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
157,2011-01-07,1,0,1,19,0,5,1,0.16,0.197,0.55,0.0896,3,92,95,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
158,2011-01-07,1,0,1,20,0,5,1,0.18,0.2121,0.47,0.1045,1,50,51,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
159,2011-01-07,1,0,1,21,0,5,1,0.18,0.197,0.47,0.1343,0,39,39,Fri,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
160,2011-01-07,1,0,1,22,0,5,2,0.18,0.197,0.43,0.1642,2,34,36,Fri,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
